,Author,Book
Stop acting so small. you are the universe in ecstatic motion. ― rumi, rumi,no book found
You must have chaos within you to give birth to a dancing star. ― friedrich nietzsche, friedrich nietzsche,no book found
"Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen. ― leonardo da vinci", leonardo da vinci,no book found
"You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. you are able to say to yourself, 'i have lived through this horror. i can take the next thing that comes along.' you must do the thing you think you cannot do. ― eleanor roosevelt, you learn by living: eleven keys for a more fulfilling life"," eleanor roosevelt, you learn by living: eleven keys for a more fulfilling life", you learn by living: eleven keys for a more fulfilling life
"I wonder how many people i've looked at all my life and never seen. ― john steinbeck, the winter of our discontent"," john steinbeck, the winter of our discontent", the winter of our discontent
"Without pain, how could we know joy?' this is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"It is said that your life flashes before your eyes just before you die. that is true, it's called life. ― terry pratchett, the last continent"," terry pratchett, the last continent", the last continent
"Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. and the invisible man has a special list of ten things he does not want you to do. and if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! but he loves you. he loves you, and he needs money! he always needs money! he's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money! ― george carlin", george carlin,no book found
"Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope. ― dr. seuss", dr. seuss,no book found
"The simple things are also the most extraordinary things, and only the wise can see them. ― paulo coelho, the alchemist"," paulo coelho, the alchemist", the alchemist
"Don't ever tell anybody anything. if you do, you start missing everybody. ― j. d. salinger", j. d. salinger,no book found
"Many people, myself among them, feel better at the mere sight of a book. ― jane smiley, thirteen ways of looking at the novel"," jane smiley, thirteen ways of looking at the novel", thirteen ways of looking at the novel
"What happens when people open their hearts?"" ""they get better. ― haruki murakami, norwegian wood"," haruki murakami, norwegian wood", norwegian wood
You cannot protect yourself from sadness without protecting yourself from happiness. ― jonathan safran foer, jonathan safran foer,no book found
"You have your way. i have my way. as for the right way, the correct way, and the only way, it does not exist. ― friedrich wilhelm nietzsche", friedrich wilhelm nietzsche,no book found
"Live the life of your dreams: be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
